community,plot,number,species,family,dbh,height,ba
DEF,12,2110,Ixora_cibdela,Rubiaceae,1.91,3.5,2.86521104
MDF,18,1006,Lagerstroemia_duperreana,Lythraceae,10.19,8,81.55268223
MDF,16,747,Artocarpus_gomezianus,Moraceae,1.59,2.5,1.985565097
DEF,9,798,Phoebe_lanceolata,Lauraceae,1.91,3,2.86521104
DEF,10,943,Cryptocarya_pallens,Lauraceae,5.73,7,25.78689936
DEF,7,56,Lithocarpus_fenestus,Fagaceae,2.55,5,5.107051557
DDF,4,2125,Shorea_siamensis,Dipterocarpaceae ,5.41,8,22.98711199
DEF,11,1657,Ardisia_colorata,Myrsinaceae,1.91,2,2.86521104
DEF,7,40,Nephelium_hypoleucum,Sapindaceae,1.27,2,1.266768698
DEF,11,1418,Eriobotrya_bengalensis,Rosaceae,0.96,3,0.723822947
DDF,4,2058,Phyllanthus_emblica,Phyllanthaceae,1.59,3,1.985565097
DDF,5,2703,Cratoxylum_formosum,Hypericaceae ,3.82,7,11.46084416
DDF,3,1367,Shorea_obtusa,Dipterocarpaceae ,7.96,7,49.76408427
MDF,16,754,Aporosa_villosa,Phyllanthaceae,8.12,5,51.78475666
DEF,7,304,Ostodes_paniculata,Euphorbiaceae,2.55,3,5.107051557
DDF,3,1874,Phyllanthus_emblica,Phyllanthaceae,1.59,2,1.985565097
DDF,3,1237,Gluta_usitata,Anacardiaceae,9.87,8,76.51105434
DEF,11,1584,Castanopsis_acuminatissima,Fagaceae,2.23,4.5,3.905706527
DEF,7,305,Ostodes_paniculata,Euphorbiaceae,3.18,3,7.942260388
MDF,14,391,Alangium_salviifolium,Cornaceae,2.87,4.5,6.469246132
DEF,9,784,Viburnum_inopinatum,Adoxaceae,3.18,5,7.942260388
DEF,10,1199,Carpinus_viminea,Betulaceae ,2.87,5,6.469246132
DDF,6,3199,Lithocarpus_polystachyus,Fagaceae,1.59,3,1.985565097
DEF,12,2195,Rothmannia_sootepensis,Rubiaceae,2.07,5,3.36535259
DDF,5,2818,Wendlandia_tinctoria,Rubiaceae,5.41,5.5,22.98711199
DDF,1,210,Shorea_obtusa,Dipterocarpaceae ,7.96,5,49.76408427
DDF,3,1723,Tristaniopsis_burmanica,Myrtaceae,3.82,5,11.46084416
DDF,4,2234,Dipterocarpus_tuberculatus,Dipterocarpaceae ,6.05,4.5,28.74753628
DDF,2,891,Craibiodendron_stellatum,Ericaceae,2.55,2.5,5.107051557
DDF,6,3331,Vaccinium_sprengelii,Ericaceae,2.87,5,6.469246132
DEF,12,1868,Rothmannia_sootepensis,Rubiaceae,0.96,2,0.723822947
DDF,4,2248,Shorea_obtusa,Dipterocarpaceae ,1.91,2.5,2.86521104
DDF,6,3392,Lithocarpus_lindleyanus,Fagaceae,2.55,4,5.107051557
DDF,6,3295,Clerodendrum_serratum,Verbenaceae,1.59,2.5,1.985565097
DEF,11,1831,Dipterocarpus_turbinatus,Dipterocarpaceae ,68.79,32,3716.554453
DEF,7,297,Dipterocarpus_turbinatus,Dipterocarpaceae ,43.95,34,1517.077056
DDF,2,711,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,2.5,7.942260388
DEF,12,1899,Lithocarpus_fenestus,Fagaceae,10.83,8,92.11848665
DEF,7,296,Dipterocarpus_turbinatus,Dipterocarpaceae ,3.18,3,7.942260388
DDF,3,1414,Dipterocarpus_obtusifolius,Dipterocarpaceae ,14.97,10,176.0084353
DEF,11,1510,Siphonodon_celastrineus,Celastraceae,1.27,3,1.266768698
DDF,4,2045,Dipterocarpus_tuberculatus,Dipterocarpaceae ,0.8,2,0.502654825
DDF,6,3258,Schima_wallichii,Theaceae,3.18,4.5,7.942260388
MDF,16,751,Quercus_kingiana,Fagaceae,12.74,12,127.4760909
DDF,5,2822,Quercus_brandisiana,Fagaceae,24.2,16,459.9605804
DDF,3,1627,Shorea_obtusa,Dipterocarpaceae ,4.46,4,15.62282611
DDF,3,1445,Dipterocarpus_obtusifolius,Dipterocarpaceae ,14.01,12,154.1580301
DEF,10,1103,Castanopsis_acuminatissima,Fagaceae,1.59,3,1.985565097
